date,price,total_volume,market_cap,coin_name
2015-08-07 00:00:00.000,2.83162,90622.0,0.0,ethereum
2015-08-08 00:00:00.000,1.33075,368070.0,80339475.0,ethereum
2015-08-10 00:00:00.000,0.6875857090838133,400464.0745435489,41556309.21112176,ethereum
2015-08-11 00:00:00.000,1.067378879429946,1518998.2053373822,64539006.306272194,ethereum
2015-08-12 00:00:00.000,1.256613175101658,2073893.3450314845,76013261.05415402,ethereum
2015-08-13 00:00:00.000,1.825395446319752,4380142.704000345,110468836.22388984,ethereum
2015-08-14 00:00:00.000,1.825974891355639,4355618.378552116,110555313.26025319,ethereum
2015-08-15 00:00:00.000,1.670949668937766,2519633.2708181436,101215246.3781064,ethereum
2015-08-16 00:00:00.000,1.476607254205028,3032657.656405736,89480939.24025029,ethereum
2015-08-17 00:00:00.000,1.20387143115441,1880092.2147175823,87313387.94547918,ethereum
2015-08-18 00:00:00.000,1.281393051659975,1696013.472335737,92957858.0620156,ethereum
2015-08-19 00:00:00.000,1.252738651679077,1537200.8409894055,90920695.86547753,ethereum
2015-08-20 00:00:00.000,1.484195074171873,2967730.5022106003,107749185.84108424,ethereum
2015-08-21 00:00:00.000,1.40631477379752,1742881.8081502889,102131022.8278611,ethereum
2015-08-22 00:00:00.000,1.380721536476638,914588.6539745613,100308763.78229792,ethereum
2015-08-23 00:00:00.000,1.355182100454404,1610695.8727506467,98488001.44464436,ethereum
2015-08-24 00:00:00.000,1.24657168269902,696476.5553267623,90625948.31797116,ethereum
2015-08-25 00:00:00.000,1.160828327907264,1053169.3862050485,84423109.08066371,ethereum
2015-08-26 00:00:00.000,1.119639156482987,1151700.041593045,81454879.46968535,ethereum
2015-08-27 00:00:00.000,1.133690694008804,681460.2394411361,82504022.8230964,ethereum
2015-08-28 00:00:00.000,1.188895698722608,715178.7899308845,86549490.63266213,ethereum
2015-08-29 00:00:00.000,1.174343905252208,607200.891453558,85515599.87435573,ethereum
2015-08-30 00:00:00.000,1.322350879918967,1045589.321256734,96321049.6917207,ethereum
2015-08-31 00:00:00.000,1.353368417391325,1197102.0492865555,98608290.53954794,ethereum
2015-09-01 00:00:00.000,1.350786688734447,610368.2430900692,98446826.49425755,ethereum
2015-09-02 00:00:00.000,1.278810765308764,629746.119316548,93224371.25915022,ethereum
2015-09-03 00:00:00.000,1.262770719520856,583923.7452450913,92075482.63297981,ethereum
2015-09-04 00:00:00.000,1.269520099878085,333502.66115673864,92596631.55333723,ethereum
2015-09-05 00:00:00.000,1.334976229386974,350815.4668948872,97402782.61913483,ethereum
2015-09-06 00:00:00.000,1.29888313413515,317470.0943419727,94801706.70501994,ethereum
2015-09-07 00:00:00.000,1.256223439965584,487005.2028033498,91718481.31789045,ethereum
2015-09-08 00:00:00.000,1.236033260936938,419148.8018252036,90274690.39947063,ethereum
2015-09-09 00:00:00.000,1.206529945086729,367774.3318949896,88150718.66876175,ethereum
2015-09-10 00:00:00.000,1.167234841402144,639527.9174929534,85308945.82326,ethereum
2015-09-11 00:00:00.000,0.9765090926915041,1901710.694902119,71394234.94958797,ethereum
2015-09-12 00:00:00.000,1.038203585306107,800623.2998453851,75931677.01254052,ethereum
2015-09-13 00:00:00.000,0.9386521502557871,658895.1959938455,68673818.80135794,ethereum
2015-09-14 00:00:00.000,0.87402296242848,739213.7259180878,63965969.21105757,ethereum
2015-09-15 00:00:00.000,0.9418231857274298,725816.471124354,68951445.2301325,ethereum
2015-09-16 00:00:00.000,0.9032199195724051,629370.0849072988,66147947.57992838,ethereum
2015-09-17 00:00:00.000,0.8830787289063511,910704.9512256783,64693831.07862287,ethereum
2015-09-18 00:00:00.000,0.8460709193872474,478606.3969218407,62003275.12077277,ethereum
2015-09-19 00:00:00.000,0.8821037996855977,387803.6167124918,64666306.22983543,ethereum
2015-09-20 00:00:00.000,0.9363277614869444,514836.10862474947,68666556.12460059,ethereum
2015-09-21 00:00:00.000,0.9010928790890973,429253.50431215833,66105164.81214318,ethereum
2015-09-22 00:00:00.000,0.8971422650551497,485738.9553869821,65835322.779180124,ethereum
2015-09-23 00:00:00.000,0.8940475222994914,204065.40590088838,65633959.754653834,ethereum
2015-09-24 00:00:00.000,0.8160373080893036,818263.068224302,59927327.71396765,ethereum
2015-09-25 00:00:00.000,0.7405192998515878,901151.6190115963,54400658.247102216,ethereum
2015-09-26 00:00:00.000,0.7778014991497727,379124.1859007531,57158415.438244216,ethereum
2015-09-27 00:00:00.000,0.7213584231130563,408380.6390382605,53028193.82255717,ethereum
2015-09-28 00:00:00.000,0.5830570046974366,1214056.2117823916,42874816.973063745,ethereum
2015-09-29 00:00:00.000,0.657832489515796,936630.3296074625,48389042.902712226,ethereum
2015-09-30 00:00:00.000,0.7347630535971914,640217.6226458604,54065419.507539704,ethereum
2015-10-01 00:00:00.000,0.6858121897138929,588839.7815035215,50481342.528862044,ethereum
2015-10-02 00:00:00.000,0.6762217338750541,220969.48495190177,49792779.28891763,ethereum
2015-10-03 00:00:00.000,0.6874757575411915,163820.85347975112,50638684.01549935,ethereum
2015-10-04 00:00:00.000,0.6675468579375702,104370.45073472841,49187272.3502002,ethereum
2015-10-05 00:00:00.000,0.6282550742429386,221647.20706785333,46307572.65224096,ethereum
2015-10-06 00:00:00.000,0.64565776230867,268523.03787593375,47605896.39364778,ethereum
2015-10-07 00:00:00.000,0.6100126973575233,216715.50684861522,44984157.19104538,ethereum
2015-10-08 00:00:00.000,0.6234833021554507,310876.1441075317,45977519.79859987,ethereum
2015-10-09 00:00:00.000,0.650768764684828,379233.1220398259,47989631.2526218,ethereum
2015-10-10 00:00:00.000,0.6297949417268295,145554.93808006204,46490996.55001768,ethereum
2015-10-11 00:00:00.000,0.6370439806918999,87074.79961764446,47026115.24213034,ethereum
2015-10-12 00:00:00.000,0.628787281832734,108895.52921643597,46416611.842303865,ethereum
2015-10-13 00:00:00.000,0.6026272723327593,297117.07710031554,44485499.29942276,ethereum
2015-10-14 00:00:00.000,0.517689435598842,944847.8047126097,38272635.02078042,ethereum
2015-10-15 00:00:00.000,0.5614990042588522,376563.0715091993,41527413.54435173,ethereum
2015-10-16 00:00:00.000,0.5331480200007419,247071.24723507115,39443831.31743269,ethereum
2015-10-17 00:00:00.000,0.5490283089973744,317377.7617794195,40632190.61699083,ethereum
2015-10-18 00:00:00.000,0.5184445473595721,133661.67045159836,38382124.41691709,ethereum
2015-10-19 00:00:00.000,0.4870672984193326,240250.37656809334,36070935.31062339,ethereum
2015-10-20 00:00:00.000,0.4329785990312485,352361.0618641571,32076052.631905656,ethereum
2015-10-21 00:00:00.000,0.4397689744048958,599041.0131522977,32590298.008333907,ethereum
2015-10-22 00:00:00.000,0.5654615066780281,979304.0724230009,41918540.78268511,ethereum
2015-10-23 00:00:00.000,0.540737766800056,866798.4888542511,40100107.0136459,ethereum
2015-10-24 00:00:00.000,0.5685737685118122,259157.66241063716,42179070.75754259,ethereum
2015-10-25 00:00:00.000,0.6319388092249569,476617.738601437,46895926.257060364,ethereum
2015-10-26 00:00:00.000,0.7439579097275092,1174026.819064362,55226993.78944921,ethereum
2015-10-27 00:00:00.000,0.8544552504832845,1887568.9059290001,63451496.574236006,ethereum
2015-10-28 00:00:00.000,1.010409721259424,2447633.7976275166,75057962.81264551,ethereum
2015-10-29 00:00:00.000,1.163748635576317,2236842.210445422,86478981.5524642,ethereum
2015-10-30 00:00:00.000,1.041849054896385,2384549.998119618,77447839.42741764,ethereum
2015-10-31 00:00:00.000,0.9070916284167455,652271.5873221146,67453442.47710526,ethereum
